recording id,timestamp [ns],name,type
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734335851079000000,recording.begin,recording
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734335963992720000,start-1-dist,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336056936945000,end-1,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336087383532000,start-2,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336181916616000,end-2,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336205320978000,start-3-dist,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336305054059000,end-3,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336333358601000,start-4-dist,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336423976791000,end-4,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336448554736000,start-5,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336541540488000,end-5,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336575021728000,start-6,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336670718858000,end-6,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336710152081000,start-7-dist,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336811646942000,end-7,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336840465807000,start-8,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336940333606000,end-8,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734336969686141000,start-9-dist,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734337072077766000,end-9,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734337098519962000,start-10,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734337196628620000,end-10,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734337221793350000,start-11-dist,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734337316325585000,end-11,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734337358327937000,start-12,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734337511864996000,end-12,cloud
00079675-ce50-4d34-a3ee-1b7229d4b4ad,1734337536199000000,recording.end,recording
