timestamp [ns],name
1734346730927000000,recording.begin
1734346781887871000,start-1-dist
1734346875632016000,end-1
1734346899200066000,start-2
1734346992966010000,end-2
1734347023273053000,start-3-dist
1734347121337862000,end-3
1734347149350043000,start-4-dist
1734347240467462000,end-4
1734347265378330000,start-5
1734347357036156000,end-5
1734347378225053000,start-6
1734347473851249000,end-6
1734347496232588000,start-7-dist
1734347596556238000,end-7
1734347628033442000,start-8
1734347727488752000,end-8
1734347749453224000,start-9-dist
1734347850962281000,end-9
1734347888793005000,start-10
1734347989878359000,end-10
1734348024369012000,start-11-dist
1734348119512389000,end-11
1734348150753869000,start-12
1734348304744742000,end-12
1734348369127000000,recording.end
